Race_ID,Driver,LapNumber,Finishing_Tier,GridPosition,Tire_Age,Fuel_Mass_Proxy,Degradation_x_Fuel,Tire_MEDIUM,Tire_SOFT
2023_Bahrain,VER,1.0,Podium,1.0,4.0,108.0701754385965,-569.3918153021444,0,1
2023_Bahrain,VER,2.0,Podium,1.0,5.0,106.14035087719299,-498.1358308966863,0,1
2023_Bahrain,VER,3.0,Podium,1.0,6.0,104.21052631578948,-430.7394956140352,0,1
2023_Bahrain,VER,4.0,Podium,1.0,7.0,102.28070175438596,-367.2028094541911,0,1
2023_Bahrain,VER,5.0,Podium,1.0,8.0,100.35087719298245,-307.52577241715403,0,1
2023_Bahrain,VER,6.0,Podium,1.0,9.0,98.42105263157895,-251.70838450292402,0,1
2023_Bahrain,VER,7.0,Podium,1.0,10.0,96.49122807017544,-199.75064571150102,0,1
2023_Bahrain,VER,8.0,Podium,1.0,11.0,94.56140350877193,-151.65255604288504,0,1
2023_Bahrain,VER,9.0,Podium,1.0,12.0,92.63157894736842,-107.41411549707605,0,1
2023_Bahrain,VER,10.0,Podium,1.0,13.0,90.7017543859649,-67.03532407407407,0,1
2023_Bahrain,VER,11.0,Podium,1.0,14.0,88.7719298245614,-30.51618177387914,0,1
2023_Bahrain,VER,12.0,Podium,1.0,15.0,86.84210526315789,2.1433114035087786,0,1
2023_Bahrain,VER,13.0,Podium,1.0,16.0,84.91228070175438,30.943155458089684,0,1
2023_Bahrain,VER,14.0,Podium,1.0,17.0,82.98245614035088,55.88335038986357,0,1
2023_Bahrain,VER,15.0,Podium,1.0,1.0,81.05263157894737,-349.2976827485382,0,1
2023_Bahrain,VER,16.0,Podium,1.0,2.0,79.12280701754386,-299.26976851851873,0,1
2023_Bahrain,VER,17.0,Podium,1.0,3.0,77.19298245614036,-253.10150341130625,0,1
2023_Bahrain,VER,18.0,Podium,1.0,4.0,75.26315789473685,-210.7928874269008,0,1
2023_Bahrain,VER,19.0,Podium,1.0,5.0,73.33333333333334,-172.34392056530234,0,1
2023_Bahrain,VER,20.0,Podium,1.0,6.0,71.40350877192982,-137.7546028265108,0,1
2023_Bahrain,VER,21.0,Podium,1.0,7.0,69.47368421052632,-107.0249342105264,0,1
2023_Bahrain,VER,22.0,Podium,1.0,8.0,67.54385964912281,-80.15491471734902,0,1
2023_Bahrain,VER,23.0,Podium,1.0,9.0,65.6140350877193,-57.14454434697864,0,1
2023_Bahrain,VER,24.0,Podium,1.0,10.0,63.68421052631579,-37.99382309941525,0,1
2023_Bahrain,VER,25.0,Podium,1.0,11.0,61.75438596491228,-22.702750974658915,0,1
2023_Bahrain,VER,26.0,Podium,1.0,12.0,59.824561403508774,-11.27132797270959,0,1
2023_Bahrain,VER,27.0,Podium,1.0,13.0,57.89473684210526,-3.6995540935672673,0,1
2023_Bahrain,VER,28.0,Podium,1.0,14.0,55.96491228070175,0.012570662768021493,0,1
2023_Bahrain,VER,29.0,Podium,1.0,15.0,54.03508771929825,-0.13495370370370321,0,1
2023_Bahrain,VER,30.0,Podium,1.0,16.0,52.10526315789474,-4.142127192982442,0,1
2023_Bahrain,VER,31.0,Podium,1.0,17.0,50.175438596491226,-12.008949805068209,0,1
2023_Bahrain,VER,32.0,Podium,1.0,18.0,48.24561403508772,-23.73542153996098,0,1
2023_Bahrain,VER,33.0,Podium,1.0,19.0,46.31578947368421,-39.321542397660764,0,1
2023_Bahrain,VER,34.0,Podium,1.0,20.0,44.3859649122807,-58.7673123781676,0,1
2023_Bahrain,VER,35.0,Podium,1.0,21.0,42.45614035087719,-82.07273148148143,0,1
2023_Bahrain,VER,36.0,Podium,1.0,22.0,40.526315789473685,-109.23779970760225,0,1
2023_Bahrain,VER,37.0,Podium,1.0,1.0,38.59649122807018,242.13993908382045,0,0
2023_Bahrain,VER,38.0,Podium,1.0,2.0,36.66666666666667,249.71171296296276,0,0
2023_Bahrain,VER,39.0,Podium,1.0,3.0,34.736842105263165,253.42383771929804,0,0
2023_Bahrain,VER,40.0,Podium,1.0,4.0,32.807017543859644,253.27631335282643,0,0
2023_Bahrain,VER,41.0,Podium,1.0,5.0,30.877192982456137,249.26913986354768,0,0
2023_Bahrain,VER,42.0,Podium,1.0,6.0,28.94736842105263,241.40231725146188,0,0
2023_Bahrain,VER,43.0,Podium,1.0,7.0,27.017543859649123,229.6758455165691,0,0
2023_Bahrain,VER,44.0,Podium,1.0,8.0,25.087719298245617,214.0897246588693,0,0
2023_Bahrain,VER,45.0,Podium,1.0,9.0,23.15789473684211,194.64395467836246,0,0
2023_Bahrain,VER,46.0,Podium,1.0,10.0,21.228070175438603,171.33853557504864,0,0
2023_Bahrain,VER,47.0,Podium,1.0,11.0,19.298245614035082,144.17346734892786,0,0
2023_Bahrain,VER,48.0,Podium,1.0,12.0,17.368421052631575,113.14874999999996,0,0
2023_Bahrain,VER,49.0,Podium,1.0,13.0,15.438596491228068,78.26438352826509,0,0
2023_Bahrain,VER,50.0,Podium,1.0,14.0,13.508771929824562,39.52036793372318,0,0
2023_Bahrain,VER,51.0,Podium,1.0,15.0,11.578947368421055,-3.083296783625739,0,0
2023_Bahrain,VER,52.0,Podium,1.0,16.0,9.649122807017548,-49.54661062378167,0,0
2023_Bahrain,VER,53.0,Podium,1.0,17.0,7.719298245614041,-99.86957358674461,0,0
2023_Bahrain,VER,54.0,Podium,1.0,18.0,5.78947368421052,-154.0521856725146,0,0
2023_Bahrain,VER,55.0,Podium,1.0,19.0,3.8596491228070136,-212.09444688109159,0,0
